"","Manufacturer","Product","Gauge.Unit","Gauge","B..Tesla.","Frequency..Hz.","Temperature..C.","Loss..W.kg."
"1","Thyssenkrupp","020-130Y320","mm",0.2,0,50,NA,NA
"2","Thyssenkrupp","020-130Y320","mm",0.2,0.1,50,NA,NA
"3","Thyssenkrupp","020-130Y320","mm",0.2,0.2,50,NA,NA
"4","Thyssenkrupp","020-130Y320","mm",0.2,0.3,50,NA,NA
"5","Thyssenkrupp","020-130Y320","mm",0.2,0.4,50,NA,NA
"6","Thyssenkrupp","020-130Y320","mm",0.2,0.5,50,NA,0.27
"7","Thyssenkrupp","020-130Y320","mm",0.2,0.6,50,NA,0.36
"8","Thyssenkrupp","020-130Y320","mm",0.2,0.7,50,NA,0.47
"9","Thyssenkrupp","020-130Y320","mm",0.2,0.8,50,NA,0.6
"10","Thyssenkrupp","020-130Y320","mm",0.2,0.9,50,NA,0.74
"11","Thyssenkrupp","020-130Y320","mm",0.2,1,50,NA,0.9
"12","Thyssenkrupp","020-130Y320","mm",0.2,1.1,50,NA,1.1
"13","Thyssenkrupp","020-130Y320","mm",0.2,1.2,50,NA,1.35
"14","Thyssenkrupp","020-130Y320","mm",0.2,1.3,50,NA,1.65
"15","Thyssenkrupp","020-130Y320","mm",0.2,1.4,50,NA,2.06
"16","Thyssenkrupp","020-130Y320","mm",0.2,1.5,50,NA,2.51
"17","Thyssenkrupp","020-130Y320","mm",0.2,1.6,50,NA,2.92
"18","Thyssenkrupp","020-130Y320","mm",0.2,1.7,50,NA,3.3
"19","Thyssenkrupp","020-130Y320","mm",0.2,1.8,50,NA,3.59
"20","Thyssenkrupp","020-130Y320","mm",0.2,0,60,NA,NA
"21","Thyssenkrupp","020-130Y320","mm",0.2,0.1,60,NA,NA
"22","Thyssenkrupp","020-130Y320","mm",0.2,0.2,60,NA,NA
"23","Thyssenkrupp","020-130Y320","mm",0.2,0.3,60,NA,NA
"24","Thyssenkrupp","020-130Y320","mm",0.2,0.4,60,NA,NA
"25","Thyssenkrupp","020-130Y320","mm",0.2,0.5,60,NA,0.33
"26","Thyssenkrupp","020-130Y320","mm",0.2,0.6,60,NA,0.45
"27","Thyssenkrupp","020-130Y320","mm",0.2,0.7,60,NA,0.58
"28","Thyssenkrupp","020-130Y320","mm",0.2,0.8,60,NA,0.74
"29","Thyssenkrupp","020-130Y320","mm",0.2,0.9,60,NA,0.91
"30","Thyssenkrupp","020-130Y320","mm",0.2,1,60,NA,1.11
"31","Thyssenkrupp","020-130Y320","mm",0.2,1.1,60,NA,1.36
"32","Thyssenkrupp","020-130Y320","mm",0.2,1.2,60,NA,1.66
"33","Thyssenkrupp","020-130Y320","mm",0.2,1.3,60,NA,2.03
"34","Thyssenkrupp","020-130Y320","mm",0.2,1.4,60,NA,2.53
"35","Thyssenkrupp","020-130Y320","mm",0.2,1.5,60,NA,3.06
"36","Thyssenkrupp","020-130Y320","mm",0.2,1.6,60,NA,3.59
"37","Thyssenkrupp","020-130Y320","mm",0.2,1.7,60,NA,4.04
"38","Thyssenkrupp","020-130Y320","mm",0.2,1.8,60,NA,4.41
"39","Thyssenkrupp","020-130Y320","mm",0.2,0,400,NA,NA
"40","Thyssenkrupp","020-130Y320","mm",0.2,0.1,400,NA,NA
"41","Thyssenkrupp","020-130Y320","mm",0.2,0.2,400,NA,0.68
"42","Thyssenkrupp","020-130Y320","mm",0.2,0.3,400,NA,1.44
"43","Thyssenkrupp","020-130Y320","mm",0.2,0.4,400,NA,2.42
"44","Thyssenkrupp","020-130Y320","mm",0.2,0.5,400,NA,3.59
"45","Thyssenkrupp","020-130Y320","mm",0.2,0.6,400,NA,4.93
"46","Thyssenkrupp","020-130Y320","mm",0.2,0.7,400,NA,6.46
"47","Thyssenkrupp","020-130Y320","mm",0.2,0.8,400,NA,8.16
"48","Thyssenkrupp","020-130Y320","mm",0.2,0.9,400,NA,10.07
"49","Thyssenkrupp","020-130Y320","mm",0.2,1,400,NA,12.21
"50","Thyssenkrupp","020-130Y320","mm",0.2,1.1,400,NA,14.71
"51","Thyssenkrupp","020-130Y320","mm",0.2,1.2,400,NA,17.73
"52","Thyssenkrupp","020-130Y320","mm",0.2,1.3,400,NA,21.6
"53","Thyssenkrupp","020-130Y320","mm",0.2,1.4,400,NA,26.51
"54","Thyssenkrupp","020-130Y320","mm",0.2,1.5,400,NA,32.17
"55","Thyssenkrupp","020-130Y320","mm",0.2,1.6,400,NA,NA
"56","Thyssenkrupp","020-130Y320","mm",0.2,1.7,400,NA,NA
"57","Thyssenkrupp","020-130Y320","mm",0.2,1.8,400,NA,NA
"58","Thyssenkrupp","020-130Y320","mm",0.2,0,1000,NA,NA
"59","Thyssenkrupp","020-130Y320","mm",0.2,0.1,1000,NA,NA
"60","Thyssenkrupp","020-130Y320","mm",0.2,0.2,1000,NA,2.49
"61","Thyssenkrupp","020-130Y320","mm",0.2,0.3,1000,NA,5.3
"62","Thyssenkrupp","020-130Y320","mm",0.2,0.4,1000,NA,8.91
"63","Thyssenkrupp","020-130Y320","mm",0.2,0.5,1000,NA,13.26
"64","Thyssenkrupp","020-130Y320","mm",0.2,0.6,1000,NA,18.32
"65","Thyssenkrupp","020-130Y320","mm",0.2,0.7,1000,NA,24.08
"66","Thyssenkrupp","020-130Y320","mm",0.2,0.8,1000,NA,30.52
"67","Thyssenkrupp","020-130Y320","mm",0.2,0.9,1000,NA,37.91
"68","Thyssenkrupp","020-130Y320","mm",0.2,1,1000,NA,46.17
"69","Thyssenkrupp","020-130Y320","mm",0.2,1.1,1000,NA,55.62
"70","Thyssenkrupp","020-130Y320","mm",0.2,1.2,1000,NA,66.76
"71","Thyssenkrupp","020-130Y320","mm",0.2,1.3,1000,NA,80.75
"72","Thyssenkrupp","020-130Y320","mm",0.2,1.4,1000,NA,99.08
"73","Thyssenkrupp","020-130Y320","mm",0.2,1.5,1000,NA,120.98
"74","Thyssenkrupp","020-130Y320","mm",0.2,1.6,1000,NA,NA
"75","Thyssenkrupp","020-130Y320","mm",0.2,1.7,1000,NA,NA
"76","Thyssenkrupp","020-130Y320","mm",0.2,1.8,1000,NA,NA
"77","Thyssenkrupp","020-130Y320","mm",0.2,0,2000,NA,NA
"78","Thyssenkrupp","020-130Y320","mm",0.2,0.1,2000,NA,NA
"79","Thyssenkrupp","020-130Y320","mm",0.2,0.2,2000,NA,9.31
"80","Thyssenkrupp","020-130Y320","mm",0.2,0.3,2000,NA,19.48
"81","Thyssenkrupp","020-130Y320","mm",0.2,0.4,2000,NA,32.53
"82","Thyssenkrupp","020-130Y320","mm",0.2,0.5,2000,NA,48.79
"83","Thyssenkrupp","020-130Y320","mm",0.2,0.6,2000,NA,68.62
"84","Thyssenkrupp","020-130Y320","mm",0.2,0.7,2000,NA,92.44
"85","Thyssenkrupp","020-130Y320","mm",0.2,0.8,2000,NA,121.43
"86","Thyssenkrupp","020-130Y320","mm",0.2,0.9,2000,NA,155.81
"87","Thyssenkrupp","020-130Y320","mm",0.2,1,2000,NA,196.89
"88","Thyssenkrupp","020-130Y320","mm",0.2,1.1,2000,NA,244.89
"89","Thyssenkrupp","020-130Y320","mm",0.2,1.2,2000,NA,303.62
"90","Thyssenkrupp","020-130Y320","mm",0.2,1.3,2000,NA,370.31
"91","Thyssenkrupp","020-130Y320","mm",0.2,1.4,2000,NA,NA
"92","Thyssenkrupp","020-130Y320","mm",0.2,1.5,2000,NA,NA
"93","Thyssenkrupp","020-130Y320","mm",0.2,1.6,2000,NA,NA
"94","Thyssenkrupp","020-130Y320","mm",0.2,1.7,2000,NA,NA
"95","Thyssenkrupp","020-130Y320","mm",0.2,1.8,2000,NA,NA
"96","Thyssenkrupp","020-150Y370","mm",0.2,0,50,NA,NA
"97","Thyssenkrupp","020-150Y370","mm",0.2,0.1,50,NA,NA
"98","Thyssenkrupp","020-150Y370","mm",0.2,0.2,50,NA,NA
"99","Thyssenkrupp","020-150Y370","mm",0.2,0.3,50,NA,NA
"100","Thyssenkrupp","020-150Y370","mm",0.2,0.4,50,NA,NA
"101","Thyssenkrupp","020-150Y370","mm",0.2,0.5,50,NA,0.27
"102","Thyssenkrupp","020-150Y370","mm",0.2,0.6,50,NA,0.36
"103","Thyssenkrupp","020-150Y370","mm",0.2,0.7,50,NA,0.47
"104","Thyssenkrupp","020-150Y370","mm",0.2,0.8,50,NA,0.6
"105","Thyssenkrupp","020-150Y370","mm",0.2,0.9,50,NA,0.74
"106","Thyssenkrupp","020-150Y370","mm",0.2,1,50,NA,0.9
"107","Thyssenkrupp","020-150Y370","mm",0.2,1.1,50,NA,1.1
"108","Thyssenkrupp","020-150Y370","mm",0.2,1.2,50,NA,1.35
"109","Thyssenkrupp","020-150Y370","mm",0.2,1.3,50,NA,1.65
"110","Thyssenkrupp","020-150Y370","mm",0.2,1.4,50,NA,2.06
"111","Thyssenkrupp","020-150Y370","mm",0.2,1.5,50,NA,2.51
"112","Thyssenkrupp","020-150Y370","mm",0.2,1.6,50,NA,2.92
"113","Thyssenkrupp","020-150Y370","mm",0.2,1.7,50,NA,3.3
"114","Thyssenkrupp","020-150Y370","mm",0.2,1.8,50,NA,3.59
"115","Thyssenkrupp","020-150Y370","mm",0.2,0,60,NA,NA
"116","Thyssenkrupp","020-150Y370","mm",0.2,0.1,60,NA,NA
"117","Thyssenkrupp","020-150Y370","mm",0.2,0.2,60,NA,NA
"118","Thyssenkrupp","020-150Y370","mm",0.2,0.3,60,NA,NA
"119","Thyssenkrupp","020-150Y370","mm",0.2,0.4,60,NA,NA
"120","Thyssenkrupp","020-150Y370","mm",0.2,0.5,60,NA,0.33
"121","Thyssenkrupp","020-150Y370","mm",0.2,0.6,60,NA,0.45
"122","Thyssenkrupp","020-150Y370","mm",0.2,0.7,60,NA,0.58
"123","Thyssenkrupp","020-150Y370","mm",0.2,0.8,60,NA,0.74
"124","Thyssenkrupp","020-150Y370","mm",0.2,0.9,60,NA,0.91
"125","Thyssenkrupp","020-150Y370","mm",0.2,1,60,NA,1.11
"126","Thyssenkrupp","020-150Y370","mm",0.2,1.1,60,NA,1.36
"127","Thyssenkrupp","020-150Y370","mm",0.2,1.2,60,NA,1.66
"128","Thyssenkrupp","020-150Y370","mm",0.2,1.3,60,NA,2.03
"129","Thyssenkrupp","020-150Y370","mm",0.2,1.4,60,NA,2.53
"130","Thyssenkrupp","020-150Y370","mm",0.2,1.5,60,NA,3.06
"131","Thyssenkrupp","020-150Y370","mm",0.2,1.6,60,NA,3.59
